"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"4234","ENSG00000142544","CTU1","ENSG00000142544.6"
"4235","ENSG00000177842","ZNF620","ENSG00000177842.10"
"4236","ENSG00000180592","SKIDA1","ENSG00000180592.15"
"4237","ENSG00000110934","BIN2","ENSG00000110934.9"
"4238","ENSG00000073331","ALPK1","ENSG00000073331.16"
"4239","ENSG00000229980","TOB1-AS1","ENSG00000229980.4"
"4240","ENSG00000233901","LINC01503","ENSG00000233901.4"
"4241","ENSG00000183397","C19orf71","ENSG00000183397.5"
"4242","ENSG00000100027","YPEL1","ENSG00000100027.13"
"4243","ENSG00000071539","TRIP13","ENSG00000071539.12"
"4244","ENSG00000172687","ZNF738","ENSG00000172687.12"
"4245","ENSG00000188112","C6orf132","ENSG00000188112.7"
"4246","ENSG00000261801","LOXL1-AS1","ENSG00000261801.4"
"4247","ENSG00000180953","ST20","ENSG00000180953.10"
"4248","ENSG00000253716","MINCR","ENSG00000253716.4"
"4249","ENSG00000164649","CDCA7L","ENSG00000164649.18"
"4250","ENSG00000261326","LINC01355","ENSG00000261326.2"
"4251","ENSG00000253341","AC115837.1","ENSG00000253341.1"
"4252","ENSG00000248587","GDNF-AS1","ENSG00000248587.5"
"4253","ENSG00000237686","AL109615.3","ENSG00000237686.5"
"4254","ENSG00000174125","TLR1","ENSG00000174125.6"
"4255","ENSG00000118849","RARRES1","ENSG00000118849.8"
"4256","ENSG00000105792","CFAP69","ENSG00000105792.18"
"4257","ENSG00000067992","PDK3","ENSG00000067992.11"
"4258","ENSG00000198939","ZFP2","ENSG00000198939.6"
"4259","ENSG00000242299","AC073861.1","ENSG00000242299.1"
"4260","ENSG00000104369","JPH1","ENSG00000104369.4"
"4261","ENSG00000160602","NEK8","ENSG00000160602.12"
"4262","ENSG00000122691","TWIST1","ENSG00000122691.11"
"4263","ENSG00000243660","ZNF487","ENSG00000243660.8"
"4264","ENSG00000233695","GAS6-AS1","ENSG00000233695.2"
"4265","ENSG00000188295","ZNF669","ENSG00000188295.13"
"4266","ENSG00000128655","PDE11A","ENSG00000128655.15"
"4267","ENSG00000273702","AC091271.1","ENSG00000273702.1"
"4268","ENSG00000220842","RPL21P16","ENSG00000220842.6"
"4269","ENSG00000271895","AL109811.2","ENSG00000271895.2"
"4270","ENSG00000196338","NLGN3","ENSG00000196338.11"
"4271","ENSG00000205078","SYCE1L","ENSG00000205078.5"
"4272","ENSG00000161509","GRIN2C","ENSG00000161509.12"
"4273","ENSG00000150054","MPP7","ENSG00000150054.17"
"4274","ENSG00000215475","SIAH3","ENSG00000215475.4"
"4275","ENSG00000086991","NOX4","ENSG00000086991.11"
"4276","ENSG00000236255","AC009404.1","ENSG00000236255.1"
"4277","ENSG00000134042","MRO","ENSG00000134042.11"
"4278","ENSG00000261338","AC021016.1","ENSG00000261338.2"
"4279","ENSG00000121904","CSMD2","ENSG00000121904.16"
"4280","ENSG00000196741","LINC01560","ENSG00000196741.5"
"4281","ENSG00000204366","ZBTB12","ENSG00000204366.3"
"4282","ENSG00000142512","SIGLEC10","ENSG00000142512.13"
"4283","ENSG00000257315","ZBED6","ENSG00000257315.1"
"4284","ENSG00000258334","AC125611.4","ENSG00000258334.1"
"4285","ENSG00000165495","PKNOX2","ENSG00000165495.14"
"4286","ENSG00000233101","HOXB-AS3","ENSG00000233101.9"
"4287","ENSG00000261740","BOLA2-SMG1P6","ENSG00000261740.4"
"4288","ENSG00000185668","POU3F1","ENSG00000185668.6"
"4289","ENSG00000215424","MCM3AP-AS1","ENSG00000215424.8"
"4290","ENSG00000256925","ADGRA1-AS1","ENSG00000256925.2"
"4291","ENSG00000234284","ZNF879","ENSG00000234284.5"
"4292","ENSG00000253846","PCDHGA10","ENSG00000253846.2"
"4293","ENSG00000152056","AP1S3","ENSG00000152056.15"
"4294","ENSG00000166664","CHRFAM7A","ENSG00000166664.12"
"4295","ENSG00000145779","TNFAIP8","ENSG00000145779.7"
"4296","ENSG00000170293","CMTM8","ENSG00000170293.7"
"4297","ENSG00000250091","DNAH10OS","ENSG00000250091.2"
"4298","ENSG00000089685","BIRC5","ENSG00000089685.13"
"4299","ENSG00000100890","PRORP","ENSG00000100890.14"
