"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"13706","ENSG00000197283","SYNGAP1","ENSG00000197283.11"
"13707","ENSG00000197291","RAMP2-AS1","ENSG00000197291.7"
"13708","ENSG00000197296","FITM2","ENSG00000197296.5"
"13709","ENSG00000197299","BLM","ENSG00000197299.9"
"13710","ENSG00000197301","HMGA2-AS1","ENSG00000197301.6"
"13711","ENSG00000197302","ZNF720","ENSG00000197302.9"
"13712","ENSG00000197312","DDI2","ENSG00000197312.10"
"13713","ENSG00000197321","SVIL","ENSG00000197321.13"
"13714","ENSG00000197323","TRIM33","ENSG00000197323.9"
"13715","ENSG00000197324","LRP10","ENSG00000197324.7"
"13716","ENSG00000197329","PELI1","ENSG00000197329.10"
"13717","ENSG00000197332","AC008543.1","ENSG00000197332.8"
"13718","ENSG00000197343","ZNF655","ENSG00000197343.9"
"13719","ENSG00000197345","MRPL21","ENSG00000197345.11"
"13720","ENSG00000197355","UAP1L1","ENSG00000197355.9"
"13721","ENSG00000197361","FBXL22","ENSG00000197361.6"
"13722","ENSG00000197362","ZNF786","ENSG00000197362.12"
"13723","ENSG00000197363","ZNF517","ENSG00000197363.8"
"13724","ENSG00000197372","ZNF675","ENSG00000197372.8"
"13725","ENSG00000197375","SLC22A5","ENSG00000197375.11"
"13726","ENSG00000197380","DACT3","ENSG00000197380.9"
"13727","ENSG00000197381","ADARB1","ENSG00000197381.14"
"13728","ENSG00000197385","ZNF860","ENSG00000197385.5"
"13729","ENSG00000197386","HTT","ENSG00000197386.9"
"13730","ENSG00000197405","C5AR1","ENSG00000197405.6"
"13731","ENSG00000197406","DIO3","ENSG00000197406.7"
"13732","ENSG00000197409","H3C4","ENSG00000197409.7"
"13733","ENSG00000197410","DCHS2","ENSG00000197410.11"
"13734","ENSG00000197415","VEPH1","ENSG00000197415.10"
"13735","ENSG00000197417","SHPK","ENSG00000197417.7"
"13736","ENSG00000197429","IPP","ENSG00000197429.9"
"13737","ENSG00000197442","MAP3K5","ENSG00000197442.9"
"13738","ENSG00000197444","OGDHL","ENSG00000197444.8"
"13739","ENSG00000197448","GSTK1","ENSG00000197448.12"
"13740","ENSG00000197451","HNRNPAB","ENSG00000197451.9"
"13741","ENSG00000197457","STMN3","ENSG00000197457.8"
"13742","ENSG00000197461","PDGFA","ENSG00000197461.12"
"13743","ENSG00000197467","COL13A1","ENSG00000197467.12"
"13744","ENSG00000197471","SPN","ENSG00000197471.10"
"13745","ENSG00000197472","ZNF695","ENSG00000197472.13"
"13746","ENSG00000197479","PCDHB11","ENSG00000197479.6"
"13747","ENSG00000197483","ZNF628","ENSG00000197483.9"
"13748","ENSG00000197496","SLC2A10","ENSG00000197496.5"
"13749","ENSG00000197497","ZNF665","ENSG00000197497.9"
"13750","ENSG00000197498","RPF2","ENSG00000197498.11"
"13751","ENSG00000197506","SLC28A3","ENSG00000197506.7"
"13752","ENSG00000197520","FAM177B","ENSG00000197520.9"
"13753","ENSG00000197530","MIB2","ENSG00000197530.11"
"13754","ENSG00000197535","MYO5A","ENSG00000197535.13"
"13755","ENSG00000197536","IRF1-AS1","ENSG00000197536.9"
"13756","ENSG00000197540","GZMM","ENSG00000197540.6"
