"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id"
"9487","ENSG00000165434","PGM2L1","ENSG00000165434.7"
"9488","ENSG00000165449","SLC16A9","ENSG00000165449.10"
"9489","ENSG00000165457","FOLR2","ENSG00000165457.12"
"9490","ENSG00000165458","INPPL1","ENSG00000165458.12"
"9491","ENSG00000165474","GJB2","ENSG00000165474.5"
"9492","ENSG00000165475","CRYL1","ENSG00000165475.12"
"9493","ENSG00000165476","REEP3","ENSG00000165476.11"
"9494","ENSG00000165480","SKA3","ENSG00000165480.14"
"9495","ENSG00000165487","MICU2","ENSG00000165487.12"
"9496","ENSG00000165490","DDIAS","ENSG00000165490.11"
"9497","ENSG00000165494","PCF11","ENSG00000165494.9"
"9498","ENSG00000165495","PKNOX2","ENSG00000165495.14"
"9499","ENSG00000165501","LRR1","ENSG00000165501.15"
"9500","ENSG00000165502","RPL36AL","ENSG00000165502.6"
"9501","ENSG00000165506","DNAAF2","ENSG00000165506.13"
"9502","ENSG00000165507","DEPP1","ENSG00000165507.8"
"9503","ENSG00000165511","ZNF22-AS1","ENSG00000165511.6"
"9504","ENSG00000165512","ZNF22","ENSG00000165512.4"
"9505","ENSG00000165516","KLHDC2","ENSG00000165516.9"
"9506","ENSG00000165525","NEMF","ENSG00000165525.16"
"9507","ENSG00000165526","RPUSD4","ENSG00000165526.7"
"9508","ENSG00000165527","ARF6","ENSG00000165527.6"
"9509","ENSG00000165533","TTC8","ENSG00000165533.17"
"9510","ENSG00000165555","NOXRED1","ENSG00000165555.8"
"9511","ENSG00000165568","AKR1E2","ENSG00000165568.16"
"9512","ENSG00000165572","KBTBD6","ENSG00000165572.7"
"9513","ENSG00000165591","FAAH2","ENSG00000165591.6"
"9514","ENSG00000165609","NUDT5","ENSG00000165609.11"
"9515","ENSG00000165617","DACT1","ENSG00000165617.13"
"9516","ENSG00000165621","OXGR1","ENSG00000165621.7"
"9517","ENSG00000165626","BEND7","ENSG00000165626.15"
"9518","ENSG00000165629","ATP5F1C","ENSG00000165629.18"
"9519","ENSG00000165630","PRPF18","ENSG00000165630.12"
